Coercivity,Crystal_Structure,Curie,Curie(Tc),Curie_Weiss,Curie_Weiss(θp),DOI,Experimental,Lattice_Parameters,Lattice_Structure,Magnetic_Moment,Magnetization,Material_Name,Neel,Neel(Tn),New_Column_Concatenated,Remanence,Space_Group,Susceptibility
,Perovskite,,,,,10.1016/j.jmmm.2006.10.217,TRUE,,,150μB,,Nd0.5Sr0.5MnO3,50,50K,O3.0Mn1Sr0.5Nd0.5,,,
43-62 Oe,Spinel,858.15,585 °C,,,10.1016/j.jmmm.2017.05.018,TRUE,,Cubic,,32-58 emu/g,Fe3O4,,,O4.0Fe3.0,,,
,Face-centered cubic,42,42±1 K,,,10.1016/j.jmmm.2014.01.010,TRUE,{'a': '16.8249(7) Å'},Cubic,7.00±0.10 μB/R,,Gd3Pt23Si11,,,Si11.0Gd3.0Pt23.0,,Fm3̄m,
,Face-centered cubic,25,25±1 K,,,10.1016/j.jmmm.2014.01.010,TRUE,{'a': '16.8181(8) Å'},Cubic,5.86±0.10 μB/R,,Tb3Pt23Si11,,,Si11.0Tb3.0Pt23.0,,Fm3̄m,
,Face-centered cubic,15.99,15.99±0.10 K,,,10.1016/j.jmmm.2014.01.010,TRUE,{'a': '16.814(1) Å'},Cubic,7.08±0.10 μB/R,,Dy3Pt23Si11,,,Si11.0Dy3.0Pt23.0,,Fm3̄m,
,Face-centered cubic,9.07,9.07±0.10 K,,,10.1016/j.jmmm.2014.01.010,TRUE,{'a': '16.8015(5) Å'},Cubic,7.06±0.19 μB/R,,Ho3Pt23Si11,,,Si11.0Ho3.0Pt23.0,,Fm3̄m,
,Face-centered cubic,3.39,3.39±0.05 K,,,10.1016/j.jmmm.2014.01.010,TRUE,{'a': '16.7979(5) Å'},Cubic,4.79±0.23 μB/R,,Er3Pt23Si11,,,Si11.0Er3.0Pt23.0,,Fm3̄m,
,Orthorhombic,291.5,291.5 K,,,10.1016/j.jmmm.2006.01.195,TRUE,"{'a': '5.916 Å', 'b': '5.260 Å', 'c': '3.173 Å'}",Distorted NiAs-type hexagonal,,,MnP,47,47 K,P1Mn1,,,
550 Oe at 2 K,C14 Laves phase,63,63 K,84 K,84,10.1016/j.jmmm.2018.01.055,TRUE,,Hexagonal,0.378 μB/f.u.,,Nb0.975Fe2.025,,,Fe2.025Nb0.975,,,
,,,,,,10.1016/j.jmmm.2018.01.055,TRUE,,,,,NbFe2,18.5,10 K to 27 K,Fe2.0Nb1,,,
,Pbnm,380,380 K,,,10.1016/j.jmmm.2018.08.070,TRUE,,,,,LaMn0.5Fe0.5O3,,,O3.0Mn0.5Fe0.5La1,,,
210 Oe,Hexagonal,306,306 K,,,10.1016/j.jmmm.2018.09.123,TRUE,"{'a': '4.304 Å', 'c': '5.346 Å'}",Co1.75Ge-prototype,1.07 μB/Mn,64.1 emu/g,Mn1.2Sn0.5Ga0.5,,,Mn1.2Ga0.5Sn0.5,,P63/mmc,
230 Oe,Hexagonal,284,284 K,,,10.1016/j.jmmm.2018.09.123,TRUE,"{'a': '4.322 Å', 'c': '5.375 Å'}",Co1.75Ge-prototype,,,Mn1.5Sn0.5Ga0.5,,,Mn1.5Ga0.5Sn0.5,,P63/mmc,
290 Oe,Hexagonal,283,283 K,,,10.1016/j.jmmm.2018.09.123,TRUE,"{'a': '4.331 Å', 'c': '5.379 Å'}",Co1.75Ge-prototype,,,Mn1.7Sn0.5Ga0.5,,,Mn1.7Ga0.5Sn0.5,,P63/mmc,
590 Oe,Hexagonal,262,262 K,,,10.1016/j.jmmm.2018.09.123,TRUE,"{'a': '4.340 Å', 'c': '5.370 Å'}",Co1.75Ge-prototype,0.85 μB/Mn,46.7 emu/g,Mn2Sn0.5Ga0.5,,,Mn2.0Ga0.5Sn0.5,,P63/mmc,
,,10.5,10.5 K,,,10.1016/j.jmmm.2019.165815,TRUE,,,,,YbNi2,,,Ni2.0Yb1,,,
,,252,252 K,,,10.1016/j.jmmm.2003.12.1082,TRUE,,,,,La0.91Mn0.95O3,,,O3.0Mn0.95La0.91,,,
,Layered Perovskite,,,,,10.1016/j.jmmm.2022.169165,TRUE,"{'a': '3.8699 Å', 'c': '7.6359 Å'}",Tetragonal,"Fe: 2.23 μB, Cu: -0.70 μB (at 420 K); Fe: 1.01 μB, Cu: -0.84 μB (at 242 K)",,YBaCuFe0.95Mn0.05O5,331,"420 K, 242 K",O5.0Mn0.05Fe0.95Cu1Y1Ba1,,P4mm,
