Crystal_Structure,Lattice_Parameters,formula,TN,Space_Group
Perovskite,,Nd0.5Sr0.5MnO3,50.0,
Layered Perovskite,"{'a': '3.8699 Ã…', 'c': '7.6359 Ã…'}",YBaCuFe0.95Mn0.05O5,331.0,P4mm
Layered Perovskite,"{'a': '3.8735 Ã…', 'c': '7.6648 Ã…'}",YBaCuFeO5,306.5,P4mm
Orthorhombic Perovskite,,Nd0.93MnO2.96,80.0,Pnma
Perovskite,,Nd0.5Sr0.5MnO3,225.0,
Orthorhombic distorted perovskite,"{'a': '5.292 Ã…', 'b': '5.591 Ã…', 'c': '7.614 Ã…'}",Ho0.5Dy0.5FeO3,705.0,Pbnm
Distorted Perovskite,"{'a': '5.793(2) Ã…', 'b': '5.832(1) Ã…', 'c': '8.2134(7) Ã…'}",Sr2RuGdO6,32.0,P21/n
Distorted Perovskite,"{'a': '5.811(4) Ã…', 'b': '5.846(3) Ã…', 'c': '8.2269(4) Ã…'}",Sr2RuEuO6,28.0,P21/n
Rhombohedral distorted perovskite,,BiFe0.9Co0.01Mn0.09O3,653.15,R3c
Rhombohedral distorted perovskite,,BiFe0.9Co0.09Mn0.01O3,676.15,R3c
Perovskite,"{'a': '5.400 Ã…', 'b': '5.599 Ã…', 'c': '7.709 Ã…'}",SmFeO3,670.0,Pnma
GdFeO3-perovskite,"{'a': '5.3761 Ã…', 'b': '5.3739 Ã…', 'c': '7.5715 Ã…'}",La0.3Ca0.7MnO3,170.0,Pbnm
Pnma,"{'a': '5.6200 Ã…', 'b': '7.5236 Ã…', 'c': '5.8338 Ã…'}",La0.375Ca0.625MnO3,115.0,Pnma
Distorted Perovskite,"{'a': '5.4491 Ã…', 'b': '5.4345 Ã…', 'c': '7.6506 Ã…'}",Pr0.65Ca0.35MnO3,165.0,Pbnm
AFM,,TbCo0.2Ni1.8B2C,10.2,
AFM,,TbCo0.4Ni1.6B2C,7.65,
Perovskite,"{'a': '3.98 Ã…', 'b': '3.98 Ã…', 'c': '3.98 Ã…'}",LaMnO3,131.0,
Rhombohedral perovskite,,Bi0.95Pb0.05Fe0.85Mn0.15O3,670.15,R3c
Double-layered perovskite-like,,Ca3Ru2O7,56.0,
Perovskite,,LaMn3Ni2Mn2O12,46.0,
Perovskite-like,{'a': '417.5 pm'},CePd3Ga0.10,3.3,
Perovskite-like,{'a': '419.8 pm'},CePd3Ga0.15,4.0,
Perovskite-like,{'a': '421.6 pm'},CePd3Ga0.20,2.3,
Perovskite,,DyScO3,3.5,Pbnm
Layered Perovskite,,Er2Mn2O7,4.75,
Orthorhombic Perovskite,"{'a': '5.3044 Ã…', 'b': '5.5137 Ã…', 'c': '7.5920 Ã…'}",GdCrO3,171.0,Pbnm
Layered Perovskite,,HoBaCo2O5.5,280.0,
Layered Perovskite,,GdBaCo2O5.5,255.0,
Perovskite,,KCuF3,39.0,I4/mcm
Perovskite,"{'a': '5.90193(6) Ã… (10 K), 5.89907(2) Ã… (140 K), 4.18538(1) Ã… (235 K)', 'b': '5.88848(6) Ã… (10 K), a (140 K), a (235 K)', 'c': '8.34826(9) Ã… (10 K), 8.38022(5) Ã… (140 K), a (235 K)'}",KMnF3,81.9,"Pnma (10 K), I4/mcm (140 K), Pm3Ì„m (235 K)"
Triple-layered perovskite,,La4Co3O10.1,13.0,
