Crystal_Structure,Lattice_Parameters,formula,TN,Space_Group,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,compound possible,max ionic char,avg ionic char
Perovskite,,Nd0.5Sr0.5MnO3,50.0,,Nd0.5 Sr0.5 Mn1 O3,8.0,60.0,52.0,19.6,13.919999999999998,8.0,8.0,87.0,79.0,65.3,26.04,87.0,15.9994,144.242,128.24259999999998,43.773449,33.3288588,15.9994,54.8,1519.0,1464.2,571.08,619.5360000000001,54.8,2.0,16.0,14.0,11.5,5.4,16.0,2.0,6.0,4.0,3.1,1.3199999999999998,2.0,66.0,201.0,135.0,107.0,49.2,66.0,0.95,3.44,2.49,2.5829999999999997,1.0284,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,4.0,4.0,0.4,0.72,0.0,2.0,7.0,5.0,5.8,0.7600000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,10.0,10.0,1.0,1.8,0.0,0.0,10.0,10.0,3.2,2.08,2.0,9.105,54.23,45.125,16.46451724138,11.222193103448001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,6.2024137931e-05,9.923862068959999e-05,0.0,12.0,225.0,213.0,92.5,96.6,12.0,4,0.648074069840786,0.6091199348919785,0.6005237760880777,0.6000397970967368,0.6000010180820754,2.0,2.4,1.0,0.4,0.3448275862068966,0.41379310344827586,0.1724137931034483,0.06896551724137931,d,Mn,-0.26654,d,Mn,-0.26654,0.0,,,
Layered Perovskite,"{'a': '3.8699 Ã…', 'c': '7.6359 Ã…'}",YBaCuFe0.95Mn0.05O5,331.0,P4mm,Y1 Ba1 Cu1 Fe0.95 Mn0.05 O5,8.0,56.0,48.0,21.105555555555554,14.561728395061728,8.0,9.0,87.0,78.0,63.87222222222223,25.72592592592592,87.0,15.9994,137.327,121.3276,47.286166916666666,34.763074351851856,15.9994,54.8,1811.0,1756.2,691.9077777777778,707.8975308641974,54.8,2.0,16.0,14.0,11.55,4.944444444444445,16.0,2.0,6.0,4.0,3.2222222222222223,1.3580246913580245,2.0,66.0,215.0,149.0,111.03888888888889,50.043209876543216,66.0,0.89,3.44,2.55,2.5584444444444445,0.9795061728395061,3.44,1.0,2.0,1.0,1.8888888888888888,0.1975308641975309,2.0,0.0,4.0,4.0,2.2222222222222223,1.9753086419753088,4.0,0.0,10.0,10.0,1.8833333333333333,2.7074074074074073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,5.9944444444444445,1.5530864197530865,6.0,0.0,1.0,1.0,0.1111111111111111,0.19753086419753088,0.0,0.0,2.0,2.0,1.1111111111111112,0.9876543209876544,2.0,0.0,9.0,9.0,1.4500000000000002,2.2555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.6722222222222225,1.7123456790123457,2.0,9.105,63.59,54.485,18.14087547892722,13.26072200936568,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.22279390733716475,0.3985500995621541,0.0,12.0,229.0,217.0,104.04444444444444,102.2716049382716,12.0,6,0.5973707825562378,0.5612125715586106,0.5556896696770598,0.5555593125203984,0.5555555760283668,1.8888888888888888,2.2222222222222223,1.8833333333333333,0.0,0.31510658016682114,0.37071362372567196,0.31417979610750696,0.0,d,Cu,-0.202272,d,Cu,-0.202272,0.0,,,
Layered Perovskite,"{'a': '3.8735 Ã…', 'c': '7.6648 Ã…'}",YBaCuFeO5,306.5,P4mm,Y1 Ba1 Cu1 Fe1 O5,8.0,56.0,48.0,21.11111111111111,14.567901234567898,8.0,9.0,87.0,78.0,63.888888888888886,25.703703703703706,87.0,15.9994,137.327,121.3276,47.29120555555555,34.76867283950617,15.9994,54.8,1811.0,1756.2,693.5300000000001,709.6999999999999,54.8,2.0,16.0,14.0,11.555555555555555,4.938271604938271,16.0,2.0,6.0,4.0,3.2222222222222223,1.3580246913580245,2.0,66.0,215.0,149.0,111.0,50.0,66.0,0.89,3.44,2.55,2.56,0.9777777777777779,3.44,1.0,2.0,1.0,1.8888888888888888,0.1975308641975309,2.0,0.0,4.0,4.0,2.2222222222222223,1.9753086419753088,4.0,0.0,10.0,10.0,1.8888888888888888,2.716049382716049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,6.0,1.5555555555555556,6.0,0.0,1.0,1.0,0.1111111111111111,0.19753086419753088,0.0,0.0,2.0,2.0,1.1111111111111112,0.9876543209876544,2.0,0.0,9.0,9.0,1.4444444444444444,2.2469135802469133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.6666666666666665,1.7037037037037035,2.0,9.105,63.59,54.485,18.142222222222227,13.260123456790126,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.2345180888888889,0.41692104691358023,0.0,12.0,229.0,217.0,104.11111111111111,102.34567901234567,12.0,5,0.5983516452371671,0.5614193719120624,0.555697705015874,0.5555596189584573,0.5555555783111069,1.8888888888888888,2.2222222222222223,1.8888888888888888,0.0,0.3148148148148148,0.3703703703703704,0.3148148148148148,0.0,d,Cu,-0.202272,d,Cu,-0.202272,0.0,True,0.8032113561415081,0.15837093884064396
Orthorhombic Perovskite,,Nd0.93MnO2.96,80.0,Pnma,Nd0.93 Mn1 O2.96,8.0,60.0,52.0,21.36605316973415,16.18139770241844,8.0,19.0,87.0,68.0,66.91002044989774,24.321611234479615,87.0,15.9994,144.242,128.24259999999998,48.35201002044989,39.16716795931766,15.9994,54.8,1519.0,1464.2,589.9034764826175,647.8144336967478,54.8,3.0,16.0,13.0,11.687116564417176,5.221323095838509,16.0,2.0,6.0,4.0,3.169734151329243,1.416119872365873,2.0,66.0,201.0,135.0,106.60327198364006,49.15569941577694,66.0,1.14,3.44,2.3,2.6160736196319014,0.9974732457626057,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.421267893660531,1.9112666808854093,4.0,0.0,5.0,5.0,1.0224948875255622,1.6267914570447595,0.0,0.0,4.0,4.0,0.7607361963190183,1.2321126124430726,0.0,6.0,7.0,1.0,6.204498977505111,0.3253582914089509,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2106339468302656,0.9556333404427046,2.0,0.0,5.0,5.0,1.0224948875255622,1.6267914570447595,0.0,0.0,10.0,10.0,1.901840490797546,3.0802815311076817,0.0,2.0,10.0,8.0,4.1349693251533735,2.5846663404719785,2.0,9.105,34.81,25.705000000000002,14.276418447218811,7.810319363634559,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,6.341936393762781e-05,0.00010090033771671662,0.0,12.0,217.0,205.0,88.53578732106338,92.65682227826078,12.0,3,0.666632164412627,0.6190415581933811,0.6062177307519592,0.6053865197987428,0.6053187131731539,2.0,2.421267893660531,1.0224948875255622,0.7607361963190183,0.3223467369808834,0.3902439024390244,0.16479894528675018,0.12261041529334214,d,Mn,-0.26654,d,Mn,-0.26654,0.0,,,
Perovskite,,Nd0.5Sr0.5MnO3,225.0,,Nd0.5 Sr0.5 Mn1 O3,8.0,60.0,52.0,19.6,13.919999999999998,8.0,8.0,87.0,79.0,65.3,26.04,87.0,15.9994,144.242,128.24259999999998,43.773449,33.3288588,15.9994,54.8,1519.0,1464.2,571.08,619.5360000000001,54.8,2.0,16.0,14.0,11.5,5.4,16.0,2.0,6.0,4.0,3.1,1.3199999999999998,2.0,66.0,201.0,135.0,107.0,49.2,66.0,0.95,3.44,2.49,2.5829999999999997,1.0284,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,4.0,4.0,0.4,0.72,0.0,2.0,7.0,5.0,5.8,0.7600000000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,5.0,5.0,1.0,1.6,0.0,0.0,10.0,10.0,1.0,1.8,0.0,0.0,10.0,10.0,3.2,2.08,2.0,9.105,54.23,45.125,16.46451724138,11.222193103448001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,6.2024137931e-05,9.923862068959999e-05,0.0,12.0,225.0,213.0,92.5,96.6,12.0,4,0.648074069840786,0.6091199348919785,0.6005237760880777,0.6000397970967368,0.6000010180820754,2.0,2.4,1.0,0.4,0.3448275862068966,0.41379310344827586,0.1724137931034483,0.06896551724137931,d,Mn,-0.26654,d,Mn,-0.26654,0.0,,,
Orthorhombic distorted perovskite,"{'a': '5.292 Ã…', 'b': '5.591 Ã…', 'c': '7.614 Ã…'}",Ho0.5Dy0.5FeO3,705.0,Pbnm,Ho0.5 Dy0.5 Fe1 O3,8.0,67.0,59.0,23.3,18.360000000000003,8.0,31.0,87.0,56.0,69.6,20.880000000000003,87.0,15.9994,164.93032,148.93092,53.511672,45.014726399999994,15.9994,54.8,1811.0,1756.2,738.28,820.176,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,6.0,4.0,3.2,1.44,2.0,66.0,192.0,126.0,104.4,46.08,66.0,1.22,3.44,2.2199999999999998,2.675,0.9179999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.2,1.92,0.0,0.0,11.0,11.0,2.1,3.3600000000000003,0.0,6.0,13.0,7.0,7.7,2.04,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,4.0,4.0,0.7,1.1199999999999999,0.0,2.0,4.0,2.0,2.7,0.8400000000000001,2.0,9.105,31.24,22.134999999999998,13.806333333329999,6.872133333327999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,91.8,95.75999999999999,12.0,4,0.648074069840786,0.6091199348919785,0.6005237760880777,0.6000397970967368,0.6000010180820754,2.0,2.4,1.2,2.1,0.2597402597402597,0.3116883116883117,0.15584415584415584,0.2727272727272727,f,Ho,-0.272677,f,Ho,-0.272677,0.0,,,
Distorted Perovskite,"{'a': '5.793(2) Ã…', 'b': '5.832(1) Ã…', 'c': '8.2134(7) Ã…'}",Sr2RuGdO6,32.0,P21/n,Sr2 Ru1 Gd1 O6,8.0,64.0,56.0,23.2,18.24,8.0,8.0,87.0,79.0,62.1,29.879999999999995,87.0,15.9994,157.25,141.2506,52.955639999999995,44.347488,15.9994,54.8,2607.0,2552.2,662.1800000000001,728.856,54.8,2.0,16.0,14.0,11.1,5.88,16.0,2.0,6.0,4.0,3.3,1.56,2.0,66.0,196.0,130.0,112.8,56.15999999999999,66.0,0.95,3.44,2.49,2.5940000000000003,1.0151999999999999,3.44,1.0,2.0,1.0,1.9,0.18000000000000008,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,7.0,7.0,0.8,1.28,0.0,0.0,7.0,7.0,0.7,1.2599999999999998,0.0,2.0,10.0,8.0,5.8,1.52,6.0,0.0,1.0,1.0,0.1,0.18000000000000002,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,1.2,1.92,0.0,0.0,7.0,7.0,0.7,1.2599999999999998,0.0,0.0,16.0,16.0,3.2,2.72,2.0,9.105,54.23,45.125,20.865,15.582999999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,91.0,94.8,12.0,4,0.648074069840786,0.6091199348919785,0.6005237760880777,0.6000397970967368,0.6000010180820754,1.9,2.4,0.8,0.7,0.3275862068965517,0.41379310344827586,0.13793103448275862,0.12068965517241378,p,O,-0.338381,p,O,-0.338381,0.0,False,0.7877573323062756,0.16555390793374247
Distorted Perovskite,"{'a': '5.811(4) Ã…', 'b': '5.846(3) Ã…', 'c': '8.2269(4) Ã…'}",Sr2RuEuO6,28.0,P21/n,Sr2 Ru1 Eu1 O6,8.0,63.0,55.0,23.1,18.119999999999997,8.0,8.0,87.0,79.0,61.9,30.120000000000005,87.0,15.9994,151.964,135.9646,52.42704,43.713167999999996,15.9994,54.8,2607.0,2552.2,613.08,669.936,54.8,2.0,16.0,14.0,11.1,5.88,16.0,2.0,6.0,4.0,3.3,1.56,2.0,66.0,198.0,132.0,113.0,56.4,66.0,0.95,3.44,2.49,2.5925000000000002,1.017,3.44,1.0,2.0,1.0,1.9,0.18000000000000008,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,7.0,7.0,0.7,1.2599999999999998,0.0,0.0,7.0,7.0,0.7,1.2599999999999998,0.0,2.0,9.0,7.0,5.7,1.48,6.0,0.0,1.0,1.0,0.1,0.18000000000000002,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,3.0,3.0,0.3,0.54,0.0,0.0,7.0,7.0,0.7,1.2599999999999998,0.0,0.0,7.0,7.0,2.3,1.2799999999999998,2.0,9.105,54.23,45.125,21.306,16.2004,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,94.5,99.0,12.0,4,0.648074069840786,0.6091199348919785,0.6005237760880777,0.6000397970967368,0.6000010180820754,1.9,2.4,0.7,0.7,0.3333333333333333,0.42105263157894735,0.12280701754385964,0.12280701754385964,f,Eu,-0.232773,f,Eu,-0.232773,0.0,False,0.7877573323062756,0.16555390793374247
Rhombohedral distorted perovskite,,BiFe0.9Co0.01Mn0.09O3,653.15,R3c,Bi1 Fe0.9 Co0.01 Mn0.09 O3,8.0,83.0,75.0,26.584000000000003,22.568064000000003,8.0,52.0,87.0,35.0,80.352,10.236799999999999,87.0,15.9994,208.9804,192.981,62.5545712,58.57033151999999,15.9994,54.8,1811.0,1756.2,498.61800000000005,532.5816000000001,54.8,7.0,16.0,9.0,14.184000000000001,2.5055999999999994,16.0,2.0,6.0,4.0,3.1999999999999997,1.44,2.0,66.0,148.0,82.0,95.714,35.6568,66.0,1.55,3.44,1.89,2.82906,0.733128,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,3.184,3.8207999999999998,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,6.0,29.0,23.0,10.984000000000002,7.2064,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,5.0,5.0,0.8160000000000001,1.3056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.616,0.7392000000000001,2.0,9.105,32.95,23.845000000000002,14.1936665517242,7.5025333793103215,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.38302182857241374,0.6266125471996414,0.0,12.0,229.0,217.0,55.114,68.9824,12.0,5,0.6578206442488712,0.6125485420364897,0.6007833817805786,0.6000579215707046,0.6000013703851838,2.0,3.0,3.184,2.8,0.18208302986161687,0.2731245447924253,0.2898761835396941,0.2549162418062636,d,Fe,-0.295049,d,Fe,-0.295049,0.0,,,
Rhombohedral distorted perovskite,,BiFe0.9Co0.09Mn0.01O3,676.15,R3c,Bi1 Fe0.9 Co0.09 Mn0.01 O3,8.0,83.0,75.0,26.616000000000003,22.567424000000003,8.0,52.0,87.0,35.0,80.44800000000001,10.083199999999996,87.0,15.9994,208.9804,192.981,62.6184936,58.54476256,15.9994,54.8,1811.0,1756.2,502.60200000000003,537.3624,54.8,7.0,16.0,9.0,14.216,2.4544000000000006,16.0,2.0,6.0,4.0,3.1999999999999997,1.44,2.0,66.0,148.0,82.0,95.506,35.4072,66.0,1.55,3.44,1.89,2.83434,0.7267919999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,10.0,10.0,3.216,3.8592,0.0,0.0,14.0,14.0,2.8,4.4799999999999995,0.0,6.0,29.0,23.0,11.016000000000002,7.193600000000001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,5.0,5.0,0.784,1.2544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.5839999999999996,0.7007999999999999,2.0,9.105,32.95,23.845000000000002,14.189785172413801,7.504085931034481,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.4077924058413793,0.6540977784868138,0.0,12.0,229.0,217.0,54.746,68.39359999999999,12.0,5,0.6578206442488712,0.6125485420364897,0.6007833817805786,0.6000579215707046,0.6000013703851838,2.0,3.0,3.216,2.8,0.18155410312273054,0.2723311546840958,0.29193899782135074,0.2541757443718227,d,Fe,-0.295049,d,Fe,-0.295049,0.0,,,
